name,growth_rate,exposure,soil,hardiness,water,height,spread,colourInSummer,colourInFall,colourPetals,slideShow
Edward Goucher abelia,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,2.0,2.0,"Green, Red","Green, Yellow, Dark-red","Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF500A8250>
"Amabilis fir, Pacific silver fir",Moderate,"Filtered shade, Full sun, Part sun/part shade",Acidic,Zone 5: (-29 to -23 C),,30,15,,,"No flowers, Brown, (red, maturing to yellow)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50098CD0>
"balsam fir, dwarf balsam fir",Slow,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 3: (-40 to -34 C),Moderate,0.7,1.0,,Dark-green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502D2940>
"Meyer's Dwarf fir, dwarf Greek fir",Slow,Full sun,Rocky or gravelly or dry,Zone 6: (-23 to -18 C),Low,0.7,3,,Green,"Showy, Red, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50354610>
"silver fir, Colorado fir, white fir",Slow,Full sun,"Acidic, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Moderate",30,10,,Green,"No flowers, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503C6550>
Fraser fir,Slow,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,22,10,,Silver / Grayish,"No flowers, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5064D040>
grand fir,Fast,"Filtered shade, Full sun",Well-drained,Zone 6: (-23 to -18 C),Low,30,15,,,"No flowers, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506C2DF0>
Korean fir,Moderate,Part sun/part shade,Well-drained,Zone 5: (-29 to -23 C),,10,7,,Dark-green,"No flowers, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50722FD0>
Nordmann fir,Fast,Full sun,,Zone 4: (-34 to -29 C),,30,25,,,"No flowers, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50609730>
"Chinese lantern, parlour maple , flowering maple",Moderate,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),,2.0,1.5,,,"Showy, Orange, White, Pink, Red, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507AAD30>
