name,growth_rate,exposure,soil,hardiness,water
Edward Goucher abelia ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
"Amabilis fir, Pacific silver fir",Moderate,"Filtered shade, Full sun, Part sun/part shade",Acidic,Zone 5: (-29 to -23 C),NA
"balsam fir, dwarf balsam fir",Slow,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 3: (-40 to -34 C),Moderate
"Meyer's Dwarf fir, dwarf Greek fir ",Slow,Full sun,Rocky or gravelly or dry,Zone 6: (-23 to -18 C),Low
"silver fir, Colorado fir, white fir ",Slow,Full sun,"Acidic, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Moderate"
Fraser fir,Slow,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
grand fir,Fast,"Filtered shade, Full sun",Well-drained,Zone 6: (-23 to -18 C),Low
Korean fir,Moderate,Part sun/part shade,Well-drained,Zone 5: (-29 to -23 C),NA
Nordmann fir,Fast,Full sun,,Zone 4: (-34 to -29 C),NA
"Chinese lantern, parlour maple , flowering maple",Moderate,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),NA
purple sheep's burr,Slow,Full sun,Well-drained,Zone 4: (-34 to -29 C),NA
chenille plant,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate
"chenille, firetail",Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 9: (-7 to -1 C),Moderate
common bear’s breeches,Moderate,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),NA
"Freeman maple, columnar red maple ",Fast,Full sun,,Zone 4: (-34 to -29 C),NA
trident maple,,Full sun,"Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
vine maple ,Moderate,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Low
"Douglas maple, Rocky Mountain maple",Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Wetlands
paperbark maple,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
fernleaf maple ,Moderate,"Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
bigleaf maple  ,Moderate,Full sun,Acidic,Zone 6: (-23 to -18 C),Moderate
"Manitoba maple , box elder ",,"Full sun, Part sun/part shade",,Zone 2: (-46 to -40 C),NA
red-leaf Japanese maple ,Slow,Part sun/part shade,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
dissected red Japanese maple ,,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Japanese maple ,Slow,Full sun,,Zone 6: (-23 to -18 C),NA
Chishio Japanese maple ,,,,Zone 6: (-23 to -18 C),NA
Shojo Nomura maple ,Slow,Full sun,,Zone 6: (-23 to -18 C),NA
red nail maple ,Slow,Full sun,,Zone 6: (-23 to -18 C),NA
Koto No Ito maple ,Moderate,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
moosewood maple ,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
Norway maple ,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
Crimson King Norway maple ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),NA
Princeton Gold Norway maple ,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
Crimson Sentry maple ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 3: (-40 to -34 C),Low
sycamore maple ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
red maple ,Moderate,Full sun,Acidic,Zone 3: (-40 to -34 C),Moderate
Red Sunset maple ,,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
Bowhall maple ,Moderate,"Full sun, Part sun/part shade",Acidic,Zone 3: (-40 to -34 C),Low
silver maple ,Fast,Full sun,"Acidic, Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low
sugar maple ,Fast,Full sun,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low
gold full moon maple ,Slow,"Filtered shade, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
"Amur maple, Tatarian maple ",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Moderate
"Manchurian snakebark maple, Manchu striped maple, Joe Witt striped maple ",Moderate,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),NA
Gold Plate yarrow ,Fast,Full sun,Rocky or gravelly or dry,Zone 3: (-40 to -34 C),"Low, Summer dry"
common yarrow ,Moderate,Full sun,Rocky or gravelly or dry,Zone 2: (-46 to -40 C),Low
yarrow cultivars,Fast,Full sun,Rocky or gravelly or dry,Zone 3: (-40 to -34 C),"Low, Summer dry"
autumn monkshood ,Fast,"Filtered shade, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
monkshood ,Fast,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
variegated sweet flag ,Fast,"Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich",Zone 3: (-40 to -34 C),"Aquatic, Wetlands"
"variegated sweet flag, variegated Japanese flag ",Moderate,"Full sun only if soil kept moist, Part sun/part shade",Bog,Zone 6: (-23 to -18 C),"Moderate, Wetlands"
